city_id,city,date,temp_min,temp_max,temp_mean,humidity,pop,rain_mm,wind_speed,description
1,Mont Saint Michel,2026-02-28,6.0,10.6,8.5,82.8,0.24,1.7,5.2,légère pluie
1,Mont Saint Michel,2026-03-01,5.1,11.8,8.1,84.6,0.0,0.0,5.8,couvert
1,Mont Saint Michel,2026-03-02,6.7,14.8,9.8,82.1,0.0,0.0,5.7,couvert
1,Mont Saint Michel,2026-03-03,8.1,16.2,11.2,82.5,0.0,0.0,3.1,partiellement nuageux
1,Mont Saint Michel,2026-03-04,7.7,16.4,11.3,80.5,0.0,0.0,4.0,ciel dégagé
2,St Malo,2026-02-28,6.9,10.3,8.9,79.6,0.1,0.6,6.3,légère pluie
2,St Malo,2026-03-01,6.4,12.0,9.0,82.9,0.0,0.0,7.1,couvert
2,St Malo,2026-03-02,7.2,14.1,9.8,82.9,0.0,0.0,6.2,couvert
2,St Malo,2026-03-03,8.3,14.6,10.8,84.4,0.0,0.0,3.4,nuageux
2,St Malo,2026-03-04,8.3,14.6,10.9,83.5,0.0,0.0,3.7,ciel dégagé
3,Bayeux,2026-02-28,5.1,10.5,8.5,79.1,0.09,0.7,7.1,nuageux
3,Bayeux,2026-03-01,4.8,11.7,7.9,81.5,0.0,0.0,5.7,couvert
3,Bayeux,2026-03-02,6.7,15.0,10.0,78.6,0.0,0.0,5.4,nuageux
3,Bayeux,2026-03-03,8.2,15.4,10.9,83.2,0.0,0.0,2.8,couvert
3,Bayeux,2026-03-04,7.4,15.0,10.6,83.5,0.0,0.0,4.0,ciel dégagé
4,Le Havre,2026-02-28,7.8,10.9,9.1,80.2,0.35,1.7,8.5,légère pluie
4,Le Havre,2026-03-01,6.6,11.1,8.5,80.6,0.0,0.0,6.8,couvert
4,Le Havre,2026-03-02,7.7,12.9,10.0,78.1,0.0,0.0,6.0,nuageux
4,Le Havre,2026-03-03,9.4,14.1,11.3,79.6,0.0,0.0,2.8,couvert
4,Le Havre,2026-03-04,9.3,14.8,11.5,77.6,0.0,0.0,4.0,ciel dégagé
5,Rouen,2026-02-28,5.5,10.9,8.6,79.6,0.13,0.8,6.7,légère pluie
5,Rouen,2026-03-01,4.5,12.1,7.6,81.4,0.0,0.0,4.0,couvert
5,Rouen,2026-03-02,4.7,15.3,9.4,78.4,0.0,0.0,4.1,peu nuageux
5,Rouen,2026-03-03,8.5,16.7,11.6,76.2,0.0,0.0,2.1,couvert
